127,15,0
725.36,1,119
719.94,1,118
714.59,1,117
709.35,1,116
704.37,1,115
699.57,1,114
694.97,1,113
690.57,1,112
686.44,1,111
682.61,1,110
679.14,1,109
675.88,1,108
672.73,1,107
669.43,1,106
665.49,1,105
660.84,1,104
655.73,1,103
650.57,1,102
645.56,1,101
640.71,1,100
636.04,1,99
631.49,1,98
627.06,1,97
622.53,1,96
617.7,1,95
612.39,1,94
606.53,1,93
600.22,1,92
593.63,1,91
586.89,1,90
580.06,1,89
573.38,1,88
567.09,1,87
560.56,1,86
554.07,1,85
548,1,84
542.25,1,83
536.81,1,82
531.53,1,81
526.23,1,80
519.88,1,79
513.53,1,78
508.22,1,77
504.61,1,77
509.83,1,77
514.94,1,76
515.45,1,73
509.26,1,73
515.36,1,73
523.16,1,72
530.75,1,71
536.84,1,70
540,1,67
531.92,1,66
523.34,1,65
513.75,1,64
504.21,1,63
494.71,1,62
485.25,1,61
475.84,1,60
466.47,1,59
457.13,1,58
448.68,1,57
440.43,1,56
432.46,1,55
424.54,1,54
416.81,1,53
409.77,1,52
403.11,1,51
396.62,1,50
390.29,1,49
384.75,1,48
379.99,1,47
375.16,1,46
370.47,1,45
365.34,1,44
360.64,1,44
363.04,1,42
363.18,1,41
358.94,1,41
363.41,1,41
367.38,1,40
370.32,1,39
376.9,1,38
384.93,1,37
392.97,1,36
396.01,1,33
391.48,1,33
395.95,1,33
400.34,1,32
404.57,1,31
404.02,1,29
408.33,1,29
408.89,1,26
403.45,1,25
397.8,1,24
392.87,1,23
388.37,1,22
384.08,1,22
388.04,1,22
392,1,21
396.82,1,20
402.08,1,19
407.59,1,18
406.64,1,15
402.98,1,15
406.69,1,15
410.79,1,14
415.21,1,13
420,1,12
424.39,1,11
428.14,1,10
430.82,1,9
430.68,1,6
426.59,1,5
422.46,1,4
418.22,1,3
414.28,1,3
417.88,1,3
421.61,1,2
717.6,2,119
712.09,2,118
706.52,2,117
701.1,2,116
695.88,2,115
690.84,2,114
686.03,2,113
681.5,2,112
677.24,2,111
673.3,2,110
669.72,2,109
666.42,2,108
663.33,2,107
660.25,2,106
656.68,2,105
652.25,2,104
647.17,2,103
641.92,2,102
636.81,2,101
631.88,2,100
627.14,2,99
622.62,2,98
618.18,2,97
613.82,2,96
609.25,2,95
604.33,2,94
598.79,2,93
592.76,2,92
586.32,2,91
579.6,2,90
572.89,2,89
566.02,2,88
559.58,2,87
553.12,2,86
546.73,2,85
540.31,2,84
534.47,2,83
528.76,2,82
524.97,2,81
520.59,2,80
514.03,2,79
508.37,2,78
502.33,2,77
499.98,2,77
504.89,2,77
509.84,2,76
511.7,2,73
505.76,2,73
513.15,2,73
520.65,2,72
527.69,2,71
533.48,2,70
537.53,2,67
529.39,2,66
520.49,2,65
510.78,2,64
501.09,2,63
491.46,2,62
481.87,2,61
472.34,2,60
462.89,2,59
453.5,2,58
